Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)	GO Term Accession	GO Term Name	GO Term Evidence Code	GO domain	GO Term Definition
LDLRAD4	18	13217497	13652754	GO:0005515	protein binding	IEA	molecular_function	"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)." [GOC:go_curators]
LDLRAD4	18	13217497	13652754	GO:0008150	biological_process	ND	biological_process	"Any process specifically pertinent to the functioning of integrated living units: cells, tissues, organs, and organisms. A process is a collection of molecular events with a defined beginning and end." [GOC:go_curators, GOC:isa_complete]
LDLRAD4	18	13217497	13652754	GO:0003674	molecular_function	ND	molecular_function	"Elemental activities, such as catalysis or binding, describing the actions of a gene product at the molecular level. A given gene product may exhibit one or more molecular functions." [GOC:go_curators]
LDLRAD4	18	13217497	13652754	GO:0005886	plasma membrane	IEA	cellular_component	"The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins." [ISBN:0716731363]
LDLRAD4	18	13217497	13652754	GO:0016021	integral to membrane	NAS	cellular_component	"Penetrating at least one phospholipid bilayer of a membrane. May also refer to the state of being buried in the bilayer with no exposure outside the bilayer. When used to describe a protein, indicates that all or part of the peptide sequence is embedded in the membrane." [GOC:go_curators]
LDLRAD4	18	13217497	13652754					
CDH4	20	59827482	60515673	GO:0034329	cell junction assembly	TAS	biological_process	"A cellular process that results in the aggregation, arrangement and bonding together of a set of components to form a cell junction." [GOC:mah]
CDH4	20	59827482	60515673	GO:0034332	adherens junction organization	TAS	biological_process	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an adherens junction. An adherens junction is a cell junction at which the cytoplasmic face of the plasma membrane is attached to actin filaments." [GOC:dph, GOC:jl, GOC:mah]
CDH4	20	59827482	60515673	GO:0045216	cell-cell junction organization	TAS	biological_process	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell-cell junction. A cell-cell junction is a specialized region of connection between two cells." [GOC:ai, GOC:dph, GOC:jl, GOC:mah]
CDH4	20	59827482	60515673	GO:0007157	heterophilic cell-cell adhesion	IEA	biological_process	"The attachment of an adhesion molecule in one cell to a nonidentical adhesion molecule in an adjacent cell." [ISBN:0198506732]
CDH4	20	59827482	60515673	GO:0045773	positive regulation of axon extension	IEA	biological_process	"Any process that activates or increases the frequency, rate or extent of axon extension." [GOC:go_curators]
CDH4	20	59827482	60515673	GO:0007155	cell adhesion	TAS	biological_process	"The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules." [GOC:hb, GOC:pf]
CDH4	20	59827482	60515673	GO:0007156	homophilic cell adhesion	IEA	biological_process	"The attachment of an adhesion molecule in one cell to an identical molecule in an adjacent cell." [ISBN:0198506732]
CDH4	20	59827482	60515673	GO:0016020	membrane	IEA	cellular_component	"Double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins." [GOC:mah, ISBN:0815316194]
CDH4	20	59827482	60515673	GO:0005509	calcium ion binding	IEA	molecular_function	"Interacting selectively and non-covalently with calcium ions (Ca2+)." [GOC:ai]
CDH4	20	59827482	60515673	GO:0007411	axon guidance	IEA	biological_process	"The chemotaxis process that directs the migration of an axon growth cone to a specific target site in response to a combination of attractive and repulsive cues." [ISBN:0878932437]
CDH4	20	59827482	60515673	GO:0005887	integral to plasma membrane	IEA	cellular_component	"Penetrating at least one phospholipid bilayer of a plasma membrane. May also refer to the state of being buried in the bilayer with no exposure outside the bilayer." [GOC:go_curators]
CDH4	20	59827482	60515673	GO:0005886	plasma membrane	IDA	cellular_component	"The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins." [ISBN:0716731363]
SGCG	13	23755091	23899304	GO:0016012	sarcoglycan complex	IEA	cellular_component	"A protein complex formed of four sarcoglycans plus sarcospan; there are six known sarcoglycans: alpha-, beta-, gamma-, delta-, epsilon- and zeta-sarcoglycan; all are N-glycosylated single-pass transmembrane proteins. The sarcoglycan-sarcospan complex is a subcomplex of the dystrophin glycoprotein complex, and is fixed to the dystrophin axis by a lateral association with the dystroglycan complex." [PMID:15117830, PMID:16710609]
SGCG	13	23755091	23899304	GO:0007517	muscle organ development	TAS	biological_process	"The process whose specific outcome is the progression of the muscle over time, from its formation to the mature structure. The muscle is an organ consisting of a tissue made up of various elongated cells that are specialized to contract and thus to produce movement and mechanical work." [GOC:jid, ISBN:0198506732]
SGCG	13	23755091	23899304	GO:0042383	sarcolemma	IEA	cellular_component	"The outer membrane of a muscle cell, consisting of the plasma membrane, a covering basement membrane (about 100 nm thick and sometimes common to more than one fiber), and the associated loose network of collagen fibers." [ISBN:0198506732]
SGCG	13	23755091	23899304	GO:0005856	cytoskeleton	IEA	cellular_component	"Any of the various filamentous elements that form the internal framework of cells, and typically remain after treatment of the cells with mild detergent to remove membrane constituents and soluble components of the cytoplasm. The term embraces intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles." [GOC:mah, ISBN:0198547684, PMID:16959967]
SGCG	13	23755091	23899304	GO:0005737	cytoplasm	IEA	cellular_component	"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures." [ISBN:0198547684]
SGCG	13	23755091	23899304	GO:0005515	protein binding	IPI	molecular_function	"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)." [GOC:go_curators]
SGCG	13	23755091	23899304	GO:0005886	plasma membrane	TAS	cellular_component	"The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins." [ISBN:0716731363]
SGCG	13	23755091	23899304	GO:0016021	integral to membrane	IEA	cellular_component	"Penetrating at least one phospholipid bilayer of a membrane. May also refer to the state of being buried in the bilayer with no exposure outside the bilayer. When used to describe a protein, indicates that all or part of the peptide sequence is embedded in the membrane." [GOC:go_curators]
SGCG	13	23755091	23899304	GO:0005515	protein binding	IEA	molecular_function	"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)." [GOC:go_curators]
TIAM1	21	32490734	32932290	GO:0044291	cell-cell contact zone	IDA	cellular_component	"Extended zone of intimate apposition between two cells containing one or more types of intercellular junctions, e.g., the intercalated disk of muscle." [NIF_Subcellular:sao1299635018]
TIAM1	21	32490734	32932290	GO:0048011	neurotrophin TRK receptor signaling pathway	TAS	biological_process	"A series of molecular signals initiated by the binding of a neurotrophin to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with regulation of a downstream cellular process, e.g. transcription." [GOC:bf, GOC:ceb, GOC:jc, GOC:signaling, PMID:12065629, Wikipedia:Trk_receptor]
TIAM1	21	32490734	32932290	GO:0030676	Rac guanyl-nucleotide exchange factor activity	IMP	molecular_function	"Stimulates the exchange of guanyl nucleotides associated with a GTPase of the Rac family. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase." [GOC:mah]
TIAM1	21	32490734	32932290	GO:0097190	apoptotic signaling pathway	TAS	biological_process	"A series of molecular signals which triggers the apoptotic death of a cell. The pathway starts with reception of a signal, and ends when the execution phase of apoptosis is triggered." [GOC:mtg_apoptosis]
TIAM1	21	32490734	32932290	GO:0046875	ephrin receptor binding	IEA	molecular_function	"Interacting selectively and non-covalently with an ephrin receptor." [GOC:ai]
TIAM1	21	32490734	32932290	GO:0016601	Rac protein signal transduction	IMP	biological_process	"A series of molecular signals within the cell that are mediated by a member of the Rac family of proteins switching to a GTP-bound active state." [GOC:bf]
TIAM1	21	32490734	32932290	GO:0005057	receptor signaling protein activity	IEA	molecular_function	"Conveys a signal from an upstream receptor or intracellular signal transducer, converting the signal into a form where it can ultimately trigger a change in the state or activity of a cell." [GOC:bf]
TIAM1	21	32490734	32932290	GO:0048013	ephrin receptor signaling pathway	IEA	biological_process	"The series of molecular signals generated as a consequence of an ephrin receptor binding to an ephrin." [GOC:ceb]
TIAM1	21	32490734	32932290	GO:0005911	cell-cell junction	IDA	cellular_component	"A cell junction that forms a connection between two cells; excludes direct cytoplasmic junctions such as ring canals." [GOC:dgh, GOC:hb, GOC:mah]
TIAM1	21	32490734	32932290	GO:0016477	cell migration	IMP	biological_process	"The orderly movement of a cell from one site to another, often during the development of a multicellular organism or multicellular structure." [GOC:ems, GOC:pf]
TIAM1	21	32490734	32932290	GO:0031234	extrinsic to cytoplasmic side of plasma membrane	IDA	cellular_component	"Loosely bound to the surface of the plasma membrane that faces the cytoplasm, but not integrated into the hydrophobic region." [GOC:mah]
TIAM1	21	32490734	32932290	GO:0050772	positive regulation of axonogenesis	IEA	biological_process	"Any process that activates or increases the frequency, rate or extent of axonogenesis." [GOC:ai]
TIAM1	21	32490734	32932290	GO:0043065	positive regulation of apoptotic process	TAS	biological_process	"Any process that activates or increases the frequency, rate or extent of cell death by apoptotic process." [GOC:jl, GOC:mtg_apoptosis]
TIAM1	21	32490734	32932290	GO:0005543	phospholipid binding	IEA	molecular_function	"Interacting selectively and non-covalently with phospholipids, a class of lipids containing phosphoric acid as a mono- or diester." [ISBN:0198506732]
TIAM1	21	32490734	32932290	GO:0007160	cell-matrix adhesion	IMP	biological_process	"The binding of a cell to the extracellular matrix via adhesion molecules." [GOC:hb]
TIAM1	21	32490734	32932290	GO:0007165	signal transduction	IEA	biological_process	"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell." [GOC:go_curators, GOC:mtg_signaling_feb11]
TIAM1	21	32490734	32932290	GO:0035023	regulation of Rho protein signal transduction	IEA	biological_process	"Any process that modulates the frequency, rate or extent of Rho protein signal transduction." [GOC:bf]
TIAM1	21	32490734	32932290	GO:0005085	guanyl-nucleotide exchange factor activity	IEA	molecular_function	"Stimulates the exchange of guanyl nucleotides associated with a GTPase. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase." [GOC:kd, GOC:mah]
TIAM1	21	32490734	32932290	GO:0005089	Rho guanyl-nucleotide exchange factor activity	TAS	molecular_function	"Stimulates the exchange of guanyl nucleotides associated with a GTPase of the Rho family. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase." [GOC:mah]
TIAM1	21	32490734	32932290	GO:0051056	regulation of small GTPase mediated signal transduction	TAS	biological_process	"Any process that modulates the frequency, rate or extent of small GTPase mediated signal transduction." [GOC:go_curators]
TIAM1	21	32490734	32932290	GO:0007264	small GTPase mediated signal transduction	IEA	biological_process	"Any series of molecular signals in which a small monomeric GTPase relays one or more of the signals." [GOC:mah]
TIAM1	21	32490734	32932290	GO:0005829	cytosol	TAS	cellular_component	"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes." [GOC:hgd, GOC:jl]
TIAM1	21	32490734	32932290	GO:0005515	protein binding	IEA	molecular_function	"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)." [GOC:go_curators]
TIAM1	21	32490734	32932290	GO:0005886	plasma membrane	IEA	cellular_component	"The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins." [ISBN:0716731363]
TIAM1	21	32490734	32932290					
TIAM1	21	32490734	32932290	GO:0005089	Rho guanyl-nucleotide exchange factor activity	IEA	molecular_function	"Stimulates the exchange of guanyl nucleotides associated with a GTPase of the Rho family. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase." [GOC:mah]
RP11-307N16.6	13	24553839	24895169	GO:0035023	regulation of Rho protein signal transduction	IEA	biological_process	"Any process that modulates the frequency, rate or extent of Rho protein signal transduction." [GOC:bf]
RP11-307N16.6	13	24553839	24895169	GO:0005089	Rho guanyl-nucleotide exchange factor activity	IEA	molecular_function	"Stimulates the exchange of guanyl nucleotides associated with a GTPase of the Rho family. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase." [GOC:mah]
